game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,black_was_first,max_moves_reached
1,A1_vs_B1,A1,B1,black,A1,win,9,60.2992,47.4972,12.0598,11.8743,172,149,34.4,37.25,True,False
2,A1_vs_B1,A1,B1,black,A1,win,9,60.2992,47.4972,12.0598,11.8743,172,149,34.4,37.25,True,False
3,A1_vs_B1,A1,B1,black,A1,win,9,60.2992,47.4972,12.0598,11.8743,172,149,34.4,37.25,True,False
4,A1_vs_B1,A1,B1,black,A1,win,9,60.2992,47.4972,12.0598,11.8743,172,149,34.4,37.25,True,False
5,A1_vs_B1,A1,B1,black,A1,win,9,60.2992,47.4972,12.0598,11.8743,172,149,34.4,37.25,True,False
6,A1_vs_B1,B1,A1,white,A1,loss,12,82.9414,113.7185,13.8236,18.9531,219,255,36.5,42.5,True,False
7,A1_vs_B1,B1,A1,white,A1,loss,12,82.9414,113.7185,13.8236,18.9531,219,255,36.5,42.5,True,False
8,A1_vs_B1,B1,A1,white,A1,loss,12,82.9414,113.7185,13.8236,18.9531,219,255,36.5,42.5,True,False
9,A1_vs_B1,B1,A1,white,A1,loss,12,82.9414,113.7185,13.8236,18.9531,219,255,36.5,42.5,True,False
10,A1_vs_B1,B1,A1,white,A1,loss,12,82.9414,113.7185,13.8236,18.9531,219,255,36.5,42.5,True,False
11,A1_vs_A2,A1,A2,draw,,draw,50,7208.9496,386097.4099,288.358,15443.8964,1942,6709,77.68,268.36,True,True
12,A1_vs_A2,A1,A2,draw,,draw,50,7208.9496,386097.4099,288.358,15443.8964,1942,6709,77.68,268.36,True,True
13,A1_vs_A2,A1,A2,draw,,draw,50,7208.9496,386097.4099,288.358,15443.8964,1942,6709,77.68,268.36,True,True
14,A1_vs_A2,A1,A2,draw,,draw,50,7208.9496,386097.4099,288.358,15443.8964,1942,6709,77.68,268.36,True,True
15,A1_vs_A2,A1,A2,draw,,draw,50,7208.9496,386097.4099,288.358,15443.8964,1942,6709,77.68,268.36,True,True
16,A1_vs_A2,A2,A1,draw,,draw,50,374174.2262,7664.8874,14966.969,306.5955,6265,1999,250.6,79.96,True,True
17,A1_vs_A2,A2,A1,draw,,draw,50,374174.2262,7664.8874,14966.969,306.5955,6265,1999,250.6,79.96,True,True
18,A1_vs_A2,A2,A1,draw,,draw,50,374174.2262,7664.8874,14966.969,306.5955,6265,1999,250.6,79.96,True,True
19,A1_vs_A2,A2,A1,draw,,draw,50,374174.2262,7664.8874,14966.969,306.5955,6265,1999,250.6,79.96,True,True
20,A1_vs_A2,A2,A1,draw,,draw,50,374174.2262,7664.8874,14966.969,306.5955,6265,1999,250.6,79.96,True,True
21,A1_vs_B2,A1,B2,white,B2,loss,36,3496.6798,130791.509,194.26,7266.1949,1251,4360,69.5,242.22,True,False
22,A1_vs_B2,A1,B2,white,B2,loss,36,3496.6798,130791.509,194.26,7266.1949,1251,4360,69.5,242.22,True,False
23,A1_vs_B2,A1,B2,white,B2,loss,36,3496.6798,130791.509,194.26,7266.1949,1251,4360,69.5,242.22,True,False
24,A1_vs_B2,A1,B2,white,B2,loss,36,3496.6798,130791.509,194.26,7266.1949,1251,4360,69.5,242.22,True,False
25,A1_vs_B2,A1,B2,white,B2,loss,36,3496.6798,130791.509,194.26,7266.1949,1251,4360,69.5,242.22,True,False
26,A1_vs_B2,B2,A1,white,A1,loss,36,116071.0761,3589.1291,6448.3931,199.3961,4518,1282,251.0,71.22,True,False
27,A1_vs_B2,B2,A1,white,A1,loss,36,116071.0761,3589.1291,6448.3931,199.3961,4518,1282,251.0,71.22,True,False
28,A1_vs_B2,B2,A1,white,A1,loss,36,116071.0761,3589.1291,6448.3931,199.3961,4518,1282,251.0,71.22,True,False
29,A1_vs_B2,B2,A1,white,A1,loss,36,116071.0761,3589.1291,6448.3931,199.3961,4518,1282,251.0,71.22,True,False
30,A1_vs_B2,B2,A1,white,A1,loss,36,116071.0761,3589.1291,6448.3931,199.3961,4518,1282,251.0,71.22,True,False
31,A1_vs_A3,A1,A3,white,A3,loss,28,1763.946,381099.7894,125.9961,27221.4135,811,63630,57.93,4545.0,True,False
32,A1_vs_A3,A1,A3,white,A3,loss,28,1763.946,381099.7894,125.9961,27221.4135,811,63630,57.93,4545.0,True,False
33,A1_vs_A3,A1,A3,white,A3,loss,28,1763.946,381099.7894,125.9961,27221.4135,811,63630,57.93,4545.0,True,False
34,A1_vs_A3,A1,A3,white,A3,loss,28,1763.946,381099.7894,125.9961,27221.4135,811,63630,57.93,4545.0,True,False
35,A1_vs_A3,A1,A3,white,A3,loss,28,1763.946,381099.7894,125.9961,27221.4135,811,63630,57.93,4545.0,True,False
36,A1_vs_A3,A3,A1,black,A3,win,15,62179.2658,366.6643,7772.4082,52.3806,17052,307,2131.5,43.86,True,False
37,A1_vs_A3,A3,A1,black,A3,win,15,62179.2658,366.6643,7772.4082,52.3806,17052,307,2131.5,43.86,True,False
38,A1_vs_A3,A3,A1,black,A3,win,15,62179.2658,366.6643,7772.4082,52.3806,17052,307,2131.5,43.86,True,False
39,A1_vs_A3,A3,A1,black,A3,win,15,62179.2658,366.6643,7772.4082,52.3806,17052,307,2131.5,43.86,True,False
40,A1_vs_A3,A3,A1,black,A3,win,15,62179.2658,366.6643,7772.4082,52.3806,17052,307,2131.5,43.86,True,False
41,A1_vs_B3,A1,B3,white,B3,loss,20,857.5121,130094.0703,85.7512,13009.407,526,35727,52.6,3572.7,True,False
