ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
A1,A2,10,0,0,10,0.0,0.0,0.5,0.5,50.0,297.4767,15205.4327
A1,A3,10,0,10,0,0.0,1.0,0.0,1.0,21.5,101.4576,20149.048
A1,B1,10,10,0,0,1.0,0.0,1.0,0.0,10.5,15.8198,13.0439
A1,B2,10,5,5,0,0.5,0.5,0.5,0.5,36.0,196.828,6857.294
A1,B3,10,5,5,0,0.5,0.5,0.5,0.5,18.0,74.4896,9900.8943
A2,A3,10,0,5,5,0.0,0.5,0.25,0.75,40.5,13023.9535,56304.679
A2,B2,10,0,5,5,0.0,0.5,0.25,0.75,45.0,11687.2688,8611.593
A2,B3,10,0,10,0,0.0,1.0,0.0,1.0,26.5,5083.5035,17546.635
A3,B3,10,0,10,0,0.0,1.0,0.0,1.0,23.5,16362.6229,14625.2625
B1,A2,10,0,10,0,0.0,1.0,0.0,1.0,31.5,160.3091,12429.1784
B1,A3,10,0,10,0,0.0,1.0,0.0,1.0,10.5,24.8499,3817.5645
B1,B2,10,0,10,0,0.0,1.0,0.0,1.0,10.5,24.8264,935.6643
B1,B3,10,0,10,0,0.0,1.0,0.0,1.0,14.5,49.2442,9198.3859
B2,A3,10,5,0,5,0.5,0.0,0.75,0.25,48.5,12028.339,56053.8422
B2,B3,10,0,5,5,0.0,0.5,0.25,0.75,35.5,7796.9187,35885.7792
