game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,black_was_first,max_moves_reached
1,A1_vs_B1,A1,B1,black,A1,win,9,21.0397,11.0862,4.2079,2.7715,172,149,34.4,37.25,True,False
2,A1_vs_B1,A1,B1,black,A1,win,9,20.8566,11.06,4.1713,2.765,172,149,34.4,37.25,True,False
3,A1_vs_B1,A1,B1,black,A1,win,9,29.8934,18.784,5.9787,4.696,172,149,34.4,37.25,True,False
4,A1_vs_B1,A1,B1,black,A1,win,9,26.0598,16.5364,5.212,4.1341,172,149,34.4,37.25,True,False
5,A1_vs_B1,A1,B1,black,A1,win,9,25.3964,11.2705,5.0793,2.8176,172,149,34.4,37.25,True,False
6,A1_vs_B1,B1,A1,white,A1,loss,12,29.2399,41.5785,4.8733,6.9297,219,255,36.5,42.5,True,False
7,A1_vs_B1,B1,A1,white,A1,loss,12,22.1291,42.2453,3.6882,7.0409,219,255,36.5,42.5,True,False
8,A1_vs_B1,B1,A1,white,A1,loss,12,23.0965,44.3769,3.8494,7.3961,219,255,36.5,42.5,True,False
9,A1_vs_B1,B1,A1,white,A1,loss,12,25.4439,42.7425,4.2407,7.1237,219,255,36.5,42.5,True,False
10,A1_vs_B1,B1,A1,white,A1,loss,12,23.2865,41.2982,3.8811,6.883,219,255,36.5,42.5,True,False
11,A1_vs_A2,A1,A2,draw,,draw,50,1027.5341,54230.4718,41.1014,2169.2189,1942,6709,77.68,268.36,True,True
12,A1_vs_A2,A1,A2,draw,,draw,50,1025.2225,54233.0316,41.0089,2169.3213,1942,6709,77.68,268.36,True,True
13,A1_vs_A2,A1,A2,draw,,draw,50,1027.6916,54483.1605,41.1077,2179.3264,1942,6709,77.68,268.36,True,True
14,A1_vs_A2,A1,A2,draw,,draw,50,1027.0954,54278.5862,41.0838,2171.1434,1942,6709,77.68,268.36,True,True
15,A1_vs_A2,A1,A2,draw,,draw,50,1101.999,55452.9618,44.08,2218.1185,1942,6709,77.68,268.36,True,True
16,A1_vs_A2,A2,A1,draw,,draw,50,53601.8629,1125.6866,2144.0745,45.0275,6265,1999,250.6,79.96,True,True
17,A1_vs_A2,A2,A1,draw,,draw,50,53715.7404,1084.094,2148.6296,43.3638,6265,1999,250.6,79.96,True,True
18,A1_vs_A2,A2,A1,draw,,draw,50,53930.9458,1075.4861,2157.2378,43.0194,6265,1999,250.6,79.96,True,True
19,A1_vs_A2,A2,A1,draw,,draw,50,53068.6383,1072.102,2122.7455,42.8841,6265,1999,250.6,79.96,True,True
20,A1_vs_A2,A2,A1,draw,,draw,50,53156.8768,1086.9958,2126.2751,43.4798,6265,1999,250.6,79.96,True,True
21,A1_vs_B2,A1,B2,white,B2,loss,36,488.601,18123.108,27.1445,1006.8393,1251,4360,69.5,242.22,True,False
22,A1_vs_B2,A1,B2,white,B2,loss,36,490.2662,18008.6513,27.237,1000.4806,1251,4360,69.5,242.22,True,False
23,A1_vs_B2,A1,B2,white,B2,loss,36,495.1481,18654.0449,27.5082,1036.3358,1251,4360,69.5,242.22,True,False
24,A1_vs_B2,A1,B2,white,B2,loss,36,492.7261,18641.9865,27.3737,1035.6659,1251,4360,69.5,242.22,True,False
25,A1_vs_B2,A1,B2,white,B2,loss,36,515.9033,19541.1867,28.6613,1085.6215,1251,4360,69.5,242.22,True,False
26,A1_vs_B2,B2,A1,black,B2,win,25,8765.7871,231.9972,674.2913,19.3331,2875,790,221.15,65.83,True,False
27,A1_vs_B2,B2,A1,black,B2,win,25,9274.5293,230.2549,713.4253,19.1879,2875,790,221.15,65.83,True,False
28,A1_vs_B2,B2,A1,black,B2,win,25,9865.966,228.8482,758.9205,19.0707,2875,790,221.15,65.83,True,False
29,A1_vs_B2,B2,A1,black,B2,win,25,9824.3795,227.0031,755.7215,18.9169,2875,790,221.15,65.83,True,False
