game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,34,484.9097,67786.9871,28.5241,3987.4698,1284,7382,75.53,434.24,False
2,Easy_vs_Medium,O2_central_cross_variant_white,Easy,Medium,white,Medium,loss,13,69.166,15351.1285,11.5277,2193.0184,377,2422,62.83,346.0,False
3,Easy_vs_Medium,O3_wide_center_variant_black,Easy,Medium,black,Easy,win,3,25.4107,1701.4703,12.7054,1701.4703,137,342,68.5,342.0,False
4,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,29.9771,7451.3513,9.9924,1862.8378,220,1363,73.33,340.75,False
5,Easy_vs_Medium,O5_offset_tension_mirror_variant_black,Easy,Medium,white,Medium,loss,12,69.5055,13560.9002,11.5842,2260.15,397,2207,66.17,367.83,False
6,Easy_vs_Medium,O6_diagonal_balance_variant_white,Easy,Medium,white,Medium,loss,3,7.9932,3229.6936,7.9932,1614.8468,65,530,65.0,265.0,False
7,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,83.5248,12684.6463,13.9208,2114.1077,387,2169,64.5,361.5,False
8,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,black,Easy,win,48,1019.2767,168386.802,42.4699,7016.1168,2306,10812,96.08,450.5,False
9,Easy_vs_Medium,O9_central_cross_variant_black,Easy,Medium,white,Medium,loss,24,249.2688,47631.2983,20.7724,3969.2749,938,5194,78.17,432.83,False
10,Easy_vs_Medium,O10_diagonal_balance_white,Easy,Medium,black,Easy,win,48,985.6706,166965.058,41.0696,6956.8774,2306,10812,96.08,450.5,False
11,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,34,412.5857,68694.5923,24.2697,4040.8584,1284,7382,75.53,434.24,False
12,Easy_vs_Medium,O2_central_cross_variant_white,Easy,Medium,white,Medium,loss,13,86.448,15757.7366,14.408,2251.1052,377,2422,62.83,346.0,False
13,Easy_vs_Medium,O3_wide_center_variant_black,Easy,Medium,black,Easy,win,3,21.0499,1685.1563,10.5249,1685.1563,137,342,68.5,342.0,False
14,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,38.9165,7413.6117,12.9722,1853.4029,220,1363,73.33,340.75,False
15,Easy_vs_Medium,O5_offset_tension_mirror_variant_black,Easy,Medium,white,Medium,loss,12,81.3704,13742.1453,13.5617,2290.3575,397,2207,66.17,367.83,False
16,Easy_vs_Medium,O6_diagonal_balance_variant_white,Easy,Medium,white,Medium,loss,3,7.609,2915.0258,7.609,1457.5129,65,530,65.0,265.0,False
17,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,76.6584,12011.572,12.7764,2001.9287,387,2169,64.5,361.5,False
18,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,black,Easy,win,48,1011.4746,164622.1898,42.1448,6859.2579,2306,10812,96.08,450.5,False
