game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,488.3798,18154.7467,27.1322,1008.597,1251,4360,69.5,242.22,False
2,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,492.8408,18264.3665,27.38,1014.687,1251,4360,69.5,242.22,False
3,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.5797,18162.9691,27.0322,1009.0538,1251,4360,69.5,242.22,False
4,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.3489,18113.9799,26.7972,1006.3322,1251,4360,69.5,242.22,False
5,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.6732,17902.3697,26.7596,994.5761,1251,4360,69.5,242.22,False
6,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.2446,17931.8288,26.8469,996.2127,1251,4360,69.5,242.22,False
7,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.256,17924.091,26.7364,995.7828,1251,4360,69.5,242.22,False
8,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.0327,17917.4083,26.8907,995.4116,1251,4360,69.5,242.22,False
9,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.3067,17832.3661,27.017,990.687,1251,4360,69.5,242.22,False
10,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.0517,17862.0283,26.8362,992.3349,1251,4360,69.5,242.22,False
11,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.8093,17772.4948,26.8783,987.3608,1251,4360,69.5,242.22,False
12,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.8106,17794.0507,26.7673,988.5584,1251,4360,69.5,242.22,False
13,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.1341,17802.4808,26.8408,989.0267,1251,4360,69.5,242.22,False
14,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.091,17782.4612,26.9495,987.9145,1251,4360,69.5,242.22,False
15,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.9696,17898.586,26.8872,994.3659,1251,4360,69.5,242.22,False
16,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.8548,17816.4923,26.9364,989.8051,1251,4360,69.5,242.22,False
17,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,487.1777,17899.2208,27.0654,994.4012,1251,4360,69.5,242.22,False
18,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,483.8744,17812.7079,26.8819,989.5949,1251,4360,69.5,242.22,False
19,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.6955,17863.5118,26.8164,992.4173,1251,4360,69.5,242.22,False
20,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.5241,17902.7366,27.0291,994.5965,1251,4360,69.5,242.22,False
21,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.5368,17960.3538,26.9743,997.7974,1251,4360,69.5,242.22,False
22,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.4819,18025.5782,27.0268,1001.421,1251,4360,69.5,242.22,False
