game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_length_pressure_black,Easy,Medium,black,Easy,win,13,69.7896,13229.8936,9.9699,2204.9823,460,11125,65.71,1854.17,False
2,Easy_vs_Medium,O2_length_pressure_white,Easy,Medium,white,Medium,loss,13,56.4043,22659.7895,9.4007,3237.1128,373,32901,62.17,4700.14,False
3,Easy_vs_Medium,O3_length_pressure_mirror_black,Easy,Medium,black,Easy,win,13,71.8188,13258.9252,10.2598,2209.8209,460,11125,65.71,1854.17,False
4,Easy_vs_Medium,O4_length_pressure_mirror_white,Easy,Medium,white,Medium,loss,13,57.4557,22641.4962,9.5759,3234.4995,373,32901,62.17,4700.14,False
5,Easy_vs_Medium,O5_center_space_black,Easy,Medium,white,Medium,loss,24,215.9576,76077.5675,17.9965,6339.7973,1068,59166,89.0,4930.5,False
6,Easy_vs_Medium,O6_center_space_white,Easy,Medium,white,Medium,loss,19,141.9895,83946.2267,15.7766,8394.6227,808,106196,89.78,10619.6,False
7,Easy_vs_Medium,O7_complex_midgame_black,Easy,Medium,black,Easy,win,3,13.7215,956.7515,6.8607,956.7515,111,219,55.5,219.0,False
8,Easy_vs_Medium,O8_complex_midgame_white,Easy,Medium,white,Medium,loss,3,6.4853,3276.9883,6.4853,1638.4941,54,7031,54.0,3515.5,False
9,Easy_vs_Medium,O9_complex_midgame_mirror_black,Easy,Medium,black,Easy,win,3,14.5262,961.733,7.2631,961.733,111,219,55.5,219.0,False
10,Easy_vs_Medium,O10_complex_midgame_mirror_white,Easy,Medium,white,Medium,loss,3,6.482,3251.5185,6.482,1625.7592,54,7031,54.0,3515.5,False
11,Easy_vs_Medium,O1_length_pressure_black,Easy,Medium,black,Easy,win,13,69.1434,12886.9121,9.8776,2147.8187,460,11125,65.71,1854.17,False
12,Easy_vs_Medium,O2_length_pressure_white,Easy,Medium,white,Medium,loss,13,55.4517,22002.6167,9.242,3143.231,373,32901,62.17,4700.14,False
13,Easy_vs_Medium,O3_length_pressure_mirror_black,Easy,Medium,black,Easy,win,13,69.6879,12915.7743,9.9554,2152.6291,460,11125,65.71,1854.17,False
14,Easy_vs_Medium,O4_length_pressure_mirror_white,Easy,Medium,white,Medium,loss,13,55.5717,21937.3256,9.262,3133.9037,373,32901,62.17,4700.14,False
15,Easy_vs_Medium,O5_center_space_black,Easy,Medium,white,Medium,loss,24,209.0283,76219.1561,17.419,6351.5963,1068,59166,89.0,4930.5,False
16,Easy_vs_Medium,O6_center_space_white,Easy,Medium,white,Medium,loss,19,142.7221,83963.6949,15.858,8396.3695,808,106196,89.78,10619.6,False
17,Easy_vs_Medium,O7_complex_midgame_black,Easy,Medium,black,Easy,win,3,13.5244,941.8659,6.7622,941.8659,111,219,55.5,219.0,False
18,Easy_vs_Medium,O8_complex_midgame_white,Easy,Medium,white,Medium,loss,3,6.5926,3195.2475,6.5926,1597.6238,54,7031,54.0,3515.5,False
19,Easy_vs_Medium,O9_complex_midgame_mirror_black,Easy,Medium,black,Easy,win,3,13.562,942.2768,6.781,942.2768,111,219,55.5,219.0,False
20,Easy_vs_Medium,O10_complex_midgame_mirror_white,Easy,Medium,white,Medium,loss,3,6.5857,3222.3806,6.5857,1611.1903,54,7031,54.0,3515.5,False
21,Easy_vs_Medium,O1_length_pressure_black,Easy,Medium,black,Easy,win,13,68.6252,12809.498,9.8036,2134.9163,460,11125,65.71,1854.17,False
22,Easy_vs_Medium,O2_length_pressure_white,Easy,Medium,white,Medium,loss,13,55.285,21993.775,9.2142,3141.9679,373,32901,62.17,4700.14,False
23,Easy_vs_Medium,O3_length_pressure_mirror_black,Easy,Medium,black,Easy,win,13,69.2002,12789.0473,9.8857,2131.5079,460,11125,65.71,1854.17,False
24,Easy_vs_Medium,O4_length_pressure_mirror_white,Easy,Medium,white,Medium,loss,13,59.1559,22178.0549,9.8593,3168.2936,373,32901,62.17,4700.14,False
25,Easy_vs_Medium,O5_center_space_black,Easy,Medium,white,Medium,loss,24,213.5371,75976.1073,17.7948,6331.3423,1068,59166,89.0,4930.5,False
26,Easy_vs_Medium,O1_length_pressure_black,Medium,Easy,black,Medium,win,13,22305.9718,56.2334,3186.5674,9.3722,32901,373,4700.14,62.17,False
27,Easy_vs_Medium,O2_length_pressure_white,Medium,Easy,white,Easy,loss,13,12901.427,69.0651,2150.2378,9.8664,11125,460,1854.17,65.71,False
28,Easy_vs_Medium,O3_length_pressure_mirror_black,Medium,Easy,black,Medium,win,13,22118.6498,55.851,3159.8071,9.3085,32901,373,4700.14,62.17,False
29,Easy_vs_Medium,O4_length_pressure_mirror_white,Medium,Easy,white,Easy,loss,13,12782.8928,69.3462,2130.4821,9.9066,11125,460,1854.17,65.71,False
30,Easy_vs_Medium,O5_center_space_black,Medium,Easy,black,Medium,win,19,84227.0085,142.1594,8422.7008,15.7955,106196,808,10619.6,89.78,False
31,Easy_vs_Medium,O6_center_space_white,Medium,Easy,black,Medium,win,24,76504.4284,245.493,6375.369,20.4577,59166,1068,4930.5,89.0,False
32,Easy_vs_Medium,O7_complex_midgame_black,Medium,Easy,black,Medium,win,3,3217.1398,6.5916,1608.5699,6.5916,7031,54,3515.5,54.0,False
33,Easy_vs_Medium,O8_complex_midgame_white,Medium,Easy,white,Easy,loss,3,945.1615,13.5764,945.1615,6.7882,219,111,219.0,55.5,False
34,Easy_vs_Medium,O9_complex_midgame_mirror_black,Medium,Easy,black,Medium,win,3,3216.9295,6.5698,1608.4647,6.5698,7031,54,3515.5,54.0,False
35,Easy_vs_Medium,O10_complex_midgame_mirror_white,Medium,Easy,white,Easy,loss,3,946.3027,13.368,946.3027,6.684,219,111,219.0,55.5,False
36,Easy_vs_Medium,O1_length_pressure_black,Medium,Easy,black,Medium,win,13,22034.6355,56.0019,3147.8051,9.3336,32901,373,4700.14,62.17,False
37,Easy_vs_Medium,O2_length_pressure_white,Medium,Easy,white,Easy,loss,13,12755.2217,68.1407,2125.8703,9.7344,11125,460,1854.17,65.71,False
38,Easy_vs_Medium,O3_length_pressure_mirror_black,Medium,Easy,black,Medium,win,13,22096.6543,55.8652,3156.6649,9.3109,32901,373,4700.14,62.17,False
39,Easy_vs_Medium,O4_length_pressure_mirror_white,Medium,Easy,white,Easy,loss,13,12764.8674,67.9856,2127.4779,9.7122,11125,460,1854.17,65.71,False
40,Easy_vs_Medium,O5_center_space_black,Medium,Easy,black,Medium,win,19,85958.7582,145.5659,8595.8758,16.174,106196,808,10619.6,89.78,False
41,Easy_vs_Medium,O6_center_space_white,Medium,Easy,black,Medium,win,24,78376.679,210.8123,6531.3899,17.5677,59166,1068,4930.5,89.0,False
42,Easy_vs_Medium,O7_complex_midgame_black,Medium,Easy,black,Medium,win,3,3328.4973,6.7773,1664.2487,6.7773,7031,54,3515.5,54.0,False
43,Easy_vs_Medium,O8_complex_midgame_white,Medium,Easy,white,Easy,loss,3,956.8997,13.419,956.8997,6.7095,219,111,219.0,55.5,False
44,Easy_vs_Medium,O9_complex_midgame_mirror_black,Medium,Easy,black,Medium,win,3,3231.4324,6.671,1615.7162,6.671,7031,54,3515.5,54.0,False
45,Easy_vs_Medium,O10_complex_midgame_mirror_white,Medium,Easy,white,Easy,loss,3,954.6907,13.4559,954.6907,6.728,219,111,219.0,55.5,False
