game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,251.0868,52879.4543,17.9348,3777.1039,811,63630,57.93,4545.0,False
2,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,247.1927,52716.3385,17.6566,3765.4527,811,63630,57.93,4545.0,False
3,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,248.6368,52702.9581,17.7598,3764.497,811,63630,57.93,4545.0,False
4,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,252.084,52994.277,18.006,3785.3055,811,63630,57.93,4545.0,False
5,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,246.8703,52562.5748,17.6336,3754.4696,811,63630,57.93,4545.0,False
6,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,245.4523,52586.9219,17.5323,3756.2087,811,63630,57.93,4545.0,False
7,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,250.5119,52791.0576,17.8937,3770.7898,811,63630,57.93,4545.0,False
8,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,247.3493,52912.4687,17.6678,3779.4621,811,63630,57.93,4545.0,False
9,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,246.8935,52252.4464,17.6353,3732.3176,811,63630,57.93,4545.0,False
10,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,246.8137,52290.9301,17.6296,3735.0664,811,63630,57.93,4545.0,False
11,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,246.4927,52528.7021,17.6066,3752.0501,811,63630,57.93,4545.0,False
12,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,250.4976,52634.8589,17.8927,3759.6328,811,63630,57.93,4545.0,False
13,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,248.2636,52865.3092,17.7331,3776.0935,811,63630,57.93,4545.0,False
14,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,250.194,52896.3066,17.871,3778.3076,811,63630,57.93,4545.0,False
15,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,248.0991,53040.535,17.7214,3788.6096,811,63630,57.93,4545.0,False
16,Easy_vs_Medium,Easy,Medium,white,Medium,loss,28,250.3906,53169.6255,17.885,3797.8304,811,63630,57.93,4545.0,False
